Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
2023-08-15,116552,116809,117697,116238,"11,79M","-0,22%"
2023-08-14,116810,118067,118082,116530,"11,20M","-1,06%"
2023-08-11,118065,118350,119054,117415,"11,87M","-0,24%"
2023-08-10,118350,118412,119438,118113,"12,69M","-0,05%"
2023-08-09,118409,119090,119090,117901,"11,25M","-0,57%"
2023-08-08,119090,119378,119553,117492,"10,25M","-0,24%"
2023-08-07,119380,119509,120104,118894,"8,73M","-0,11%"
2023-08-04,119508,120586,121442,119215,"15,07M","-0,89%"
2023-08-03,120586,120859,122619,120365,"13,03M","-0,23%"
2023-08-02,120859,121249,121252,119798,"10,57M","-0,32%"
2023-08-01,121248,121945,121945,120154,"10,30M","-0,57%"
2023-07-31,121943,120188,122149,120188,"10,12M","1,46%"
2023-07-28,120187,120002,120660,119706,"8,46M","0,16%"
2023-07-27,119990,122560,122599,119825,"10,68M","-2,10%"
2023-07-26,122560,122003,122747,121370,"9,99M","0,45%"
2023-07-25,122008,121344,123010,121344,"11,43M","0,55%"
2023-07-24,121342,120220,121772,120099,"10,49M","0,94%"
2023-07-21,120217,118090,120373,118086,"11,18M","1,81%"
2023-07-20,118083,117558,118290,117484,"8,99M","0,45%"
2023-07-19,117552,117842,118011,116660,"9,73M","-0,25%"
2023-07-18,117841,118218,118732,117324,"8,58M","-0,32%"
2023-07-17,118219,117711,118302,116591,"8,20M","0,43%"
2023-07-14,117711,119268,119329,117526,"8,98M","-1,30%"
2023-07-13,119264,117671,119739,117668,"9,26M","1,36%"
2023-07-12,117666,117557,119156,117557,"8,94M","0,38%"
2023-07-11,117220,117942,117942,115704,"10,59M","-0,61%"
2023-07-10,117942,118897,118897,117814,"8,10M","-0,80%"
2023-07-07,118898,117427,119549,117427,"10,52M","1,25%"
2023-07-06,117426,119548,119548,117096,"11,03M","-1,78%"
2023-07-05,119549,119072,120200,118688,"10,96M","0,40%"
2023-07-04,119076,119673,119678,118830,"6,56M","-0,50%"
2023-07-03,119673,118092,119877,118092,"8,91M","1,34%"
2023-06-30,118087,118388,119447,118087,"13,82M","-0,25%"
2023-06-29,118383,116683,118623,116683,"11,06M","1,46%"
2023-06-28,116681,117524,117937,116560,"10,65M","-0,72%"
2023-06-27,117523,118246,119212,116561,"13,08M","-0,61%"
2023-06-26,118243,118977,119148,117491,"10,46M","-0,62%"
2023-06-23,118977,118959,119386,118178,"12,85M","0,04%"
2023-06-22,118934,120420,120420,118018,"11,83M","-1,23%"
2023-06-21,120420,119623,120519,119332,"11,74M","0,67%"
2023-06-20,119622,119858,119858,118416,"10,92M","-0,20%"
2023-06-19,119858,118757,119939,118558,"6,78M","0,93%"
2023-06-16,118758,119208,119555,118487,"15,25M","-0,39%"
2023-06-15,119221,119068,119686,118693,"12,30M","0,13%"
2023-06-14,119069,116753,119085,116745,"16,94M","1,99%"
2023-06-13,116743,117337,117924,116363,"12,39M","-0,51%"
2023-06-12,117336,117022,117735,116704,"12,02M","0,27%"
2023-06-09,117019,115489,117603,115489,"13,53M","1,33%"
2023-06-07,115488,114610,115978,114610,"14,02M","0,77%"
2023-06-06,114610,112697,114783,112696,"15,03M","1,70%"
2023-06-05,112696,112558,113071,111736,"9,08M","0,12%"
2023-06-02,112558,110568,113070,110567,"14,55M","1,80%"
2023-06-01,110565,108339,110745,108335,"14,67M","2,06%"
2023-05-31,108335,108967,109137,108193,"15,86M","-0,58%"
2023-05-30,108967,110333,111291,108552,"11,59M","-1,24%"
2023-05-29,110333,110906,111168,110195,"5,91M","-0,52%"
2023-05-26,110906,110058,111706,109900,"11,02M","0,77%"
2023-05-25,110054,108800,111115,108800,"14,75M","1,15%"
2023-05-24,108800,109920,109920,108546,"12,98M","-1,03%"
2023-05-23,109929,110213,111325,109713,"12,33M","-0,26%"
2023-05-22,110213,110745,111643,110178,"11,77M","-0,48%"
2023-05-19,110745,110113,111211,109787,"16,14M","0,58%"
2023-05-18,110108,109459,110206,108864,"13,61M","0,59%"
2023-05-17,109460,108194,109774,108188,"13,99M","1,17%"
2023-05-16,108194,109029,110151,108085,"16,90M","-0,77%"
2023-05-15,109029,108469,109271,108356,"11,60M","0,52%"
2023-05-12,108464,108256,108817,107497,"11,92M","0,19%"
2023-05-11,108256,107446,108667,106419,"12,77M","0,75%"
2023-05-10,107448,107114,107744,106538,"13,58M","0,31%"
2023-05-09,107114,106028,107731,105549,"13,53M","1,01%"
2023-05-08,106042,105161,106716,105161,"13,26M","0,85%"
2023-05-05,105148,102175,105306,102175,"16,70M","2,91%"
2023-05-04,102174,101798,103321,101063,"14,84M","0,37%"
2023-05-03,101797,101927,102331,101433,"11,69M","-0,13%"
2023-05-02,101927,104431,104447,101569,"12,02M","-2,40%"
2023-04-28,104432,102923,104432,102449,"13,09M","1,47%"
2023-04-27,102923,102310,103177,101975,"11,30M","0,60%"
2023-04-26,102312,103220,103668,102233,"10,12M","-0,88%"
2023-04-25,103220,103947,103947,102633,"10,87M","-0,70%"
2023-04-24,103947,104367,104822,103247,"10,94M","-0,40%"
2023-04-20,104367,103913,104615,103087,"12,38M","0,44%"
2023-04-19,103913,106149,106149,103604,"12,71M","-2,12%"
2023-04-18,106163,106023,106475,105122,"11,21M","0,14%"
2023-04-17,106016,106279,106830,105623,"10,25M","-0,25%"
2023-04-14,106279,106458,106701,104934,"11,50M","-0,17%"
2023-04-13,106458,106890,107037,106220,"12,18M","-0,40%"
2023-04-12,106890,106218,108277,106217,"17,35M","0,64%"
2023-04-11,106214,101849,106455,101848,"18,73M","4,29%"
2023-04-10,101847,100822,102196,100819,"8,15M","1,02%"
2023-04-06,100822,100978,101628,100443,"9,82M","-0,15%"
2023-04-05,100978,101869,101960,99898,"13,26M","-0,88%"
2023-04-04,101869,101505,103056,101505,"11,70M","0,36%"
2023-04-03,101506,101883,101916,100651,"12,79M","-0,37%"
2023-03-31,101882,103714,104041,101476,"15,12M","-1,77%"
2023-03-30,103713,101796,104085,101796,"14,90M","1,89%"
2023-03-29,101793,101185,102213,100248,"12,46M","0,60%"
2023-03-28,101185,99672,101559,99488,"13,50M","1,52%"
2023-03-27,99670,98833,99997,98833,"9,99M","0,85%"
2023-03-24,98829,97926,99258,97688,"12,41M","0,92%"
2023-03-23,97926,100221,101126,96997,"15,66M","-2,29%"
2023-03-22,100221,100998,101888,100129,"11,50M","-0,77%"
2023-03-21,100998,100923,101670,100923,"9,67M","0,07%"
2023-03-20,100923,101982,102328,100679,"10,90M","-1,04%"
2023-03-17,101982,103434,103434,101664,"17,56M","-1,40%"
2023-03-16,103435,102683,103911,102455,"14,39M","0,74%"
2023-03-15,102675,102930,103048,100692,"15,25M","-0,25%"
2023-03-14,102932,103121,104153,102482,"13,13M","-0,18%"
2023-03-13,103121,103608,103907,102255,"12,99M","-0,48%"
2023-03-10,103618,105071,105071,103201,"17,95M","-1,38%"
2023-03-09,105071,106540,106724,105053,"19,17M","-1,38%"
2023-03-08,106540,104228,106721,104228,"15,90M","2,22%"
2023-03-07,104228,104700,105179,103480,"12,58M","-0,45%"
2023-03-06,104700,103865,105171,103170,"14,28M","0,80%"
2023-03-03,103866,103326,104440,103323,"13,10M","0,52%"
