Data,Último,Abertura,Máxima,Mínima,Vol.,Amanhã,Target
2003-10-15,17942,18176,18313,17819,616250000,17955,1
2003-10-16,17955,17944,18075,17834,280560000,17791,0
2003-10-17,17791,17923,17946,17679,205450000,18370,1
2003-10-20,18370,17791,18399,17770,361630000,18449,1
2003-10-21,18449,18370,18660,18370,378080000,18235,0
2003-10-22,18235,18449,18449,18221,298190000,17690,0
2003-10-23,17690,18235,18235,17592,406040000,17814,1
2003-10-24,17814,17687,17835,17340,232860000,17750,0
2003-10-27,17750,17820,17964,17664,249000000,18228,1
2003-10-28,18228,17750,18228,17691,268470000,17945,0
2003-10-29,17945,18228,18454,17945,329640000,18094,1
2003-10-30,18094,17945,18193,17731,298650000,17982,0
2003-10-31,17982,18095,18218,17912,266029999,18517,1
2003-11-03,18517,17983,18517,17983,291390000,18541,1
2003-11-04,18541,18519,18714,18456,359170000,18307,0
2003-11-05,18307,18545,18563,18267,345960000,18613,1
2003-11-06,18613,18307,18680,18307,351070000,18672,1
2003-11-07,18672,18614,18907,18614,260120000,18572,0
2003-11-10,18572,18672,18725,18435,252870000,18409,0
2003-11-11,18409,18572,18572,18261,373660000,18794,1
2003-11-12,18794,18409,18812,18352,340780000,18755,0
2003-11-13,18755,18795,19115,18677,440980000,18986,1
2003-11-14,18986,18763,19052,18712,441960000,18669,0
2003-11-17,18669,18985,18985,18648,389060000,18813,1
2003-11-18,18813,18669,19022,18669,353840000,18807,0
2003-11-19,18807,18819,18857,18610,255260000,19199,1
2003-11-20,19199,18815,19262,18815,332020000,19248,1
2003-11-21,19248,19197,19376,19144,296390000,19691,1
2003-11-24,19691,19258,19730,19258,329510000,19810,1
2003-11-25,19810,19694,19820,19615,257630000,19695,0
2003-11-26,19695,19810,20002,19667,240940000,19961,1
2003-11-27,19961,19695,19961,19616,180730000,20184,1
2003-11-28,20184,19962,20188,19848,302210000,20521,1
2003-12-01,20521,20184,20522,20184,347780000,20458,0
2003-12-02,20458,20523,20630,20354,304970000,20540,1
2003-12-03,20540,20462,20586,20322,283210000,20414,0
2003-12-04,20414,20540,20570,20323,251500000,20880,1
2003-12-05,20880,20418,20922,20418,317230000,20889,1
2003-12-08,20889,20882,20937,20673,244320000,21260,1
2003-12-09,21260,20889,21363,20889,413530000,20973,0
2003-12-10,20973,21258,21394,20930,471910000,21296,1
2003-12-11,21296,20971,21459,20971,420360000,20974,0
2003-12-12,20974,21296,21514,20873,303350000,20710,0
2003-12-15,20710,20974,21381,20709,365540000,20760,1
2003-12-16,20760,20710,20842,20544,246950000,21199,1
2003-12-17,21199,20763,21318,20763,436620000,21489,1
2003-12-18,21489,21199,21502,21195,267060000,21386,0
2003-12-19,21386,21489,21671,21381,262170000,21630,1
2003-12-22,21630,21386,21630,21344,199020000,21688,1
2003-12-23,21688,21631,21914,21631,259010000,21807,1
2003-12-26,21807,21688,21829,21688,989480000,22045,1
2003-12-29,22045,21815,22046,21815,199680000,22236,1
2003-12-30,22236,22051,22310,22051,282070000,22445,1
2004-01-02,22445,22233,22450,22208,136420000,23532,1
2004-01-05,23532,22445,23532,22445,496710000,23576,1
2004-01-06,23576,23532,23976,23180,472380000,23320,0
2004-01-07,23320,23576,23899,23320,464080000,23717,1
2004-01-08,23717,23334,23718,23122,436740000,23917,1
2004-01-09,23917,23722,24088,23710,503350000,24237,1
2004-01-12,24237,23896,24323,23892,379910000,23940,0
2004-01-13,23940,24237,24518,23867,497930000,23399,0
2004-01-14,23399,23947,24010,22878,464750000,22962,0
2004-01-15,22962,23400,23400,22962,449980000,23155,1
2004-01-16,23155,22964,23243,22687,291150000,23385,1
2004-01-19,23385,23162,23493,23090,256149999,23679,1
2004-01-20,23679,23382,23724,23382,271200000,23302,0
2004-01-21,23302,23680,23680,23213,319640000,22969,0
2004-01-22,22969,23299,23299,22682,347080000,23471,1
2004-01-23,23471,22969,23515,22740,287870000,24350,1
2004-01-26,24350,23471,24350,23471,383190000,24226,0
2004-01-27,24226,24355,24473,23908,526960000,23852,0
2004-01-28,23852,24226,24460,23787,343420000,22386,0
2004-01-29,22386,23849,23859,22300,516610000,21851,0
2004-01-30,21851,22384,22615,21649,430570000,21787,0
2004-02-02,21787,21842,21867,21336,327360000,22281,1
2004-02-03,22281,21794,22287,21794,302440000,21685,0
2004-02-04,21685,22289,22718,21555,464940000,21092,0
2004-02-05,21092,21685,21909,21077,414970000,21969,1
2004-02-06,21969,21092,21969,20598,381230000,21962,0
2004-02-09,21962,21970,22493,21853,373110000,22171,1
2004-02-10,22171,21936,22216,21694,350830000,23197,1
2004-02-11,23197,22173,23241,22057,417590000,23063,0
2004-02-12,23063,23197,23374,22929,309590000,22530,0
2004-02-13,22530,23067,23230,22188,367400000,22189,0
2004-02-16,22189,22505,22507,21901,163740000,22426,1
2004-02-17,22426,22195,22520,22017,414030000,22000,0
2004-02-18,22000,22430,22668,21899,525010000,20951,0
2004-02-19,20951,21998,21998,20877,433850000,21337,1
2004-02-20,21337,20949,21342,20092,433510000,21609,1
2004-02-25,21609,21341,21732,21341,127140000,21450,0
2004-02-26,21450,21608,21608,21180,206810000,21755,1
2004-02-27,21755,21455,21755,21448,275450000,22499,1
2004-03-01,22499,21761,22528,21761,340330000,22442,0
2004-03-02,22442,22496,22714,21942,339790000,22550,1
2004-03-03,22550,22442,22801,22191,305090000,22393,0
2004-03-04,22393,22542,22753,22256,347160000,22873,1
2004-03-05,22873,22397,22937,22349,335060000,22993,1
2004-03-08,22993,22874,23373,22874,295070000,22674,0
2004-03-09,22674,22993,23094,22503,235170000,21670,0
2004-03-10,21670,22674,22674,21670,326190000,20763,0
2004-03-11,20763,21673,21750,20756,399570000,21776,1
2004-03-12,21776,20770,21800,20770,342720000,21234,0
2004-03-15,21234,21776,21836,21162,304930000,21613,1
2004-03-16,21613,21234,21647,21234,308940000,21901,1
2004-03-17,21901,21620,22034,21620,351370000,22370,1
2004-03-18,22370,21901,22411,21679,341660000,22261,0
2004-03-19,22261,22370,22470,22217,292930000,21663,0
2004-03-22,21663,22248,22248,21569,158390000,21205,0
2004-03-23,21205,21663,21832,21205,370090000,20985,0
2004-03-24,20985,21202,21317,20834,359870000,21000,1
2004-03-25,21000,20985,21323,20857,347640000,21541,1
2004-03-26,21541,21001,21651,21001,311330000,21531,0
2004-03-29,21531,21544,21817,21435,258380000,22043,1
2004-03-30,22043,21531,22045,21531,290920000,22142,1
2004-03-31,22142,22042,22256,21873,389680000,22647,1
2004-04-01,22647,22142,22769,22142,399160000,22949,1
2004-04-02,22949,22650,23034,22629,437230000,23146,1
2004-04-05,23146,22949,23260,22773,316280000,23072,0
2004-04-06,23072,23146,23179,22859,272070000,22443,0
2004-04-07,22443,23061,23061,22443,253280000,22725,1
2004-04-08,22725,22451,22740,22307,254450000,22780,1
2004-04-12,22780,22725,22970,22496,252920000,22620,0
2004-04-13,22620,22777,22995,22555,236240000,22312,0
2004-04-14,22312,22618,22618,22165,361930000,21739,0
2004-04-15,21739,22312,22312,21483,391690000,21769,1
2004-04-16,21769,21727,21938,21592,250130000,21627,0
